Loaded snapshot from engines/pizza-memory/idx/snapshot (5032104 docs) in 29.27s (compact: 19552ms)
Ready. Waiting for queries on stdin...
PHRASE_DEBUG doc=138674 pf=1 dl=448 avg_dl=264.4602 idf_sum=15.579526 score=12.134383
PHRASE_DEBUG doc=256679 pf=1 dl=3072 avg_dl=264.4602 idf_sum=15.579526 score=2.915900
PHRASE_DEBUG doc=261116 pf=1 dl=832 avg_dl=264.4602 idf_sum=15.579526 score=8.296154
PHRASE_DEBUG doc=363070 pf=3 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=20.391979
PHRASE_DEBUG doc=412795 pf=1 dl=1280 avg_dl=264.4602 idf_sum=15.579526 score=6.059883
PHRASE_DEBUG doc=490059 pf=1 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=7.163248
PHRASE_DEBUG doc=504731 pf=1 dl=1792 avg_dl=264.4602 idf_sum=15.579526 score=4.632715
PHRASE_DEBUG doc=506114 pf=1 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=6.565532
PHRASE_DEBUG doc=573229 pf=1 dl=576 avg_dl=264.4602 idf_sum=15.579526 score=10.513084
PHRASE_DEBUG doc=599220 pf=3 dl=208 avg_dl=264.4602 idf_sum=15.579526 score=25.655823
PHRASE_DEBUG doc=622939 pf=2 dl=120 avg_dl=264.4602 idf_sum=15.579526 score=25.310312
PHRASE_DEBUG doc=651403 pf=1 dl=960 avg_dl=264.4602 idf_sum=15.579526 score=7.504865
PHRASE_DEBUG doc=653477 pf=3 dl=768 avg_dl=264.4602 idf_sum=15.579526 score=17.387789
PHRASE_DEBUG doc=656000 pf=1 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=6.565532
PHRASE_DEBUG doc=727077 pf=1 dl=3328 avg_dl=264.4602 idf_sum=15.579526 score=2.714695
PHRASE_DEBUG doc=766187 pf=1 dl=352 avg_dl=264.4602 idf_sum=15.579526 score=13.721444
PHRASE_DEBUG doc=818460 pf=1 dl=1280 avg_dl=264.4602 idf_sum=15.579526 score=6.059883
PHRASE_DEBUG doc=850679 pf=1 dl=120 avg_dl=264.4602 idf_sum=15.579526 score=20.062855
PHRASE_DEBUG doc=883366 pf=1 dl=240 avg_dl=264.4602 idf_sum=15.579526 score=16.192194
PHRASE_DEBUG doc=948186 pf=1 dl=1280 avg_dl=264.4602 idf_sum=15.579526 score=6.059883
PHRASE_DEBUG doc=959854 pf=1 dl=2560 avg_dl=264.4602 idf_sum=15.579526 score=3.423358
PHRASE_DEBUG doc=965176 pf=1 dl=14336 avg_dl=264.4602 idf_sum=15.579526 score=0.684299
PHRASE_DEBUG doc=965372 pf=1 dl=7680 avg_dl=264.4602 idf_sum=15.579526 score=1.249258
PHRASE_DEBUG doc=1015328 pf=1 dl=352 avg_dl=264.4602 idf_sum=15.579526 score=13.721444
PHRASE_DEBUG doc=1040683 pf=1 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=11.265699
PHRASE_DEBUG doc=1052480 pf=1 dl=960 avg_dl=264.4602 idf_sum=15.579526 score=7.504865
PHRASE_DEBUG doc=1138209 pf=4 dl=1536 avg_dl=264.4602 idf_sum=15.579526 score=14.390282
PHRASE_DEBUG doc=1229353 pf=1 dl=1280 avg_dl=264.4602 idf_sum=15.579526 score=6.059883
PHRASE_DEBUG doc=1254458 pf=1 dl=640 avg_dl=264.4602 idf_sum=15.579526 score=9.854730
PHRASE_DEBUG doc=1288810 pf=1 dl=2816 avg_dl=264.4602 idf_sum=15.579526 score=3.149318
PHRASE_DEBUG doc=1322133 pf=1 dl=1408 avg_dl=264.4602 idf_sum=15.579526 score=5.626550
PHRASE_DEBUG doc=1331783 pf=1 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=6.565532
PHRASE_DEBUG doc=1351101 pf=1 dl=40 avg_dl=264.4602 idf_sum=15.579526 score=23.866257
PHRASE_DEBUG doc=1376639 pf=1 dl=256 avg_dl=264.4602 idf_sum=15.579526 score=15.786119
