Opened segment (mmap): 5032104 docs in 0.00s
PHRASE_DEBUG doc=138674 pf=1 dl=468 avg_dl=264.4602 idf_sum=15.579526 score=11.848866
PHRASE_DEBUG doc=256679 pf=1 dl=3095 avg_dl=264.4602 idf_sum=15.579526 score=2.896612
PHRASE_DEBUG doc=261116 pf=1 dl=865 avg_dl=264.4602 idf_sum=15.579526 score=8.076607
PHRASE_DEBUG doc=363070 pf=3 dl=527 avg_dl=264.4602 idf_sum=15.579526 score=20.187609
PHRASE_DEBUG doc=412795 pf=1 dl=1389 avg_dl=264.4602 idf_sum=15.579526 score=5.686914
PHRASE_DEBUG doc=490059 pf=1 dl=1116 avg_dl=264.4602 idf_sum=15.579526 score=6.723316
PHRASE_DEBUG doc=504731 pf=1 dl=1900 avg_dl=264.4602 idf_sum=15.579526 score=4.413463
PHRASE_DEBUG doc=506114 pf=1 dl=1257 avg_dl=264.4602 idf_sum=15.579526 score=6.144921
PHRASE_DEBUG doc=573229 pf=1 dl=637 avg_dl=264.4602 idf_sum=15.579526 score=9.883742
PHRASE_DEBUG doc=599220 pf=3 dl=209 avg_dl=264.4602 idf_sum=15.579526 score=25.634058
PHRASE_DEBUG doc=622939 pf=2 dl=121 avg_dl=264.4602 idf_sum=15.579526 score=25.278549
PHRASE_DEBUG doc=651403 pf=1 dl=983 avg_dl=264.4602 idf_sum=15.579526 score=7.378409
PHRASE_DEBUG doc=653477 pf=3 dl=814 avg_dl=264.4602 idf_sum=15.579526 score=16.939369
PHRASE_DEBUG doc=656000 pf=1 dl=1205 avg_dl=264.4602 idf_sum=15.579526 score=6.346267
PHRASE_DEBUG doc=766187 pf=1 dl=376 avg_dl=264.4602 idf_sum=15.579526 score=13.286991
PHRASE_DEBUG doc=850679 pf=1 dl=123 avg_dl=264.4602 idf_sum=15.579526 score=19.943668
PHRASE_DEBUG doc=883366 pf=1 dl=252 avg_dl=264.4602 idf_sum=15.579526 score=15.885716
PHRASE_DEBUG doc=948186 pf=1 dl=1337 avg_dl=264.4602 idf_sum=15.579526 score=5.858944
PHRASE_DEBUG doc=1015328 pf=1 dl=357 avg_dl=264.4602 idf_sum=15.579526 score=13.628607
PHRASE_DEBUG doc=1040683 pf=1 dl=552 avg_dl=264.4602 idf_sum=15.579526 score=10.783228
PHRASE_DEBUG doc=1138209 pf=4 dl=1594 avg_dl=264.4602 idf_sum=15.579526 score=14.098200
PHRASE_DEBUG doc=1351101 pf=1 dl=43 avg_dl=264.4602 idf_sum=15.579526 score=23.697788
PHRASE_DEBUG doc=1376639 pf=1 dl=271 avg_dl=264.4602 idf_sum=15.579526 score=15.423498
PHRASE_DEBUG doc=1576360 pf=3 dl=283 avg_dl=264.4602 idf_sum=15.579526 score=24.119778
PHRASE_DEBUG doc=1715396 pf=1 dl=310 avg_dl=264.4602 idf_sum=15.579526 score=14.554253
PHRASE_DEBUG doc=1809654 pf=3 dl=1428 avg_dl=264.4602 idf_sum=15.579526 score=12.601536
PHRASE_DEBUG doc=2100282 pf=1 dl=181 avg_dl=264.4602 idf_sum=15.579526 score=17.889074
PHRASE_DEBUG doc=2128677 pf=2 dl=375 avg_dl=264.4602 idf_sum=15.579526 score=19.168451
PHRASE_DEBUG doc=2194755 pf=1 dl=823 avg_dl=264.4602 idf_sum=15.579526 score=8.358116
PHRASE_DEBUG doc=2217672 pf=2 dl=140 avg_dl=264.4602 idf_sum=15.579526 score=24.689844
PHRASE_DEBUG doc=2234949 pf=2 dl=115 avg_dl=264.4602 idf_sum=15.579526 score=25.470333
PHRASE_DEBUG doc=2767255 pf=1 dl=179 avg_dl=264.4602 idf_sum=15.579526 score=17.952850
PHRASE_DEBUG doc=2791532 pf=3 dl=1212 avg_dl=264.4602 idf_sum=15.579526 score=13.849161
PHRASE_DEBUG doc=2842971 pf=1 dl=293 avg_dl=264.4602 idf_sum=15.579526 score=14.920805
PHRASE_DEBUG doc=3320220 pf=5 dl=596 avg_dl=264.4602 idf_sum=15.579526 score=23.385399
PHRASE_DEBUG doc=3595052 pf=23 dl=1069 avg_dl=264.4602 idf_sum=15.579526 score=29.264414
PHRASE_DEBUG doc=3846312 pf=1 dl=85 avg_dl=264.4602 idf_sum=15.579526 score=21.566502
PHRASE_DEBUG doc=3920327 pf=1 dl=146 avg_dl=264.4602 idf_sum=15.579526 score=19.074907
PHRASE_DEBUG doc=4045892 pf=11 dl=1652 avg_dl=264.4602 idf_sum=15.579526 score=22.280119
PHRASE_DEBUG doc=4352146 pf=2 dl=118 avg_dl=264.4602 idf_sum=15.579526 score=25.374077
Processed 1 queries in 24.20ms (avg 24199.79us/q)
