Opened segment (mmap): 5032104 docs in 0.00s
PHRASE_DEBUG doc=138674 pf=1 dl=448 avg_dl=264.4602 idf_sum=15.579526 score=12.134383
PHRASE_DEBUG doc=256679 pf=1 dl=3072 avg_dl=264.4602 idf_sum=15.579526 score=2.915900
PHRASE_DEBUG doc=261116 pf=1 dl=832 avg_dl=264.4602 idf_sum=15.579526 score=8.296154
PHRASE_DEBUG doc=363070 pf=3 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=20.391979
PHRASE_DEBUG doc=412795 pf=1 dl=1280 avg_dl=264.4602 idf_sum=15.579526 score=6.059883
PHRASE_DEBUG doc=490059 pf=1 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=7.163248
PHRASE_DEBUG doc=504731 pf=1 dl=1792 avg_dl=264.4602 idf_sum=15.579526 score=4.632715
PHRASE_DEBUG doc=506114 pf=1 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=6.565532
PHRASE_DEBUG doc=573229 pf=1 dl=576 avg_dl=264.4602 idf_sum=15.579526 score=10.513084
PHRASE_DEBUG doc=599220 pf=3 dl=208 avg_dl=264.4602 idf_sum=15.579526 score=25.655823
PHRASE_DEBUG doc=622939 pf=2 dl=120 avg_dl=264.4602 idf_sum=15.579526 score=25.310312
PHRASE_DEBUG doc=651403 pf=1 dl=960 avg_dl=264.4602 idf_sum=15.579526 score=7.504865
PHRASE_DEBUG doc=653477 pf=3 dl=768 avg_dl=264.4602 idf_sum=15.579526 score=17.387789
PHRASE_DEBUG doc=766187 pf=1 dl=352 avg_dl=264.4602 idf_sum=15.579526 score=13.721444
PHRASE_DEBUG doc=850679 pf=1 dl=120 avg_dl=264.4602 idf_sum=15.579526 score=20.062855
PHRASE_DEBUG doc=883366 pf=1 dl=240 avg_dl=264.4602 idf_sum=15.579526 score=16.192194
PHRASE_DEBUG doc=948186 pf=1 dl=1280 avg_dl=264.4602 idf_sum=15.579526 score=6.059883
PHRASE_DEBUG doc=1015328 pf=1 dl=352 avg_dl=264.4602 idf_sum=15.579526 score=13.721444
PHRASE_DEBUG doc=1040683 pf=1 dl=512 avg_dl=264.4602 idf_sum=15.579526 score=11.265699
PHRASE_DEBUG doc=1138209 pf=4 dl=1536 avg_dl=264.4602 idf_sum=15.579526 score=14.390282
PHRASE_DEBUG doc=1351101 pf=1 dl=40 avg_dl=264.4602 idf_sum=15.579526 score=23.866257
PHRASE_DEBUG doc=1376639 pf=1 dl=256 avg_dl=264.4602 idf_sum=15.579526 score=15.786119
PHRASE_DEBUG doc=1576360 pf=3 dl=256 avg_dl=264.4602 idf_sum=15.579526 score=24.651100
PHRASE_DEBUG doc=1715396 pf=1 dl=288 avg_dl=264.4602 idf_sum=15.579526 score=15.032154
PHRASE_DEBUG doc=1809654 pf=3 dl=1408 avg_dl=264.4602 idf_sum=15.579526 score=12.707533
PHRASE_DEBUG doc=2100282 pf=1 dl=176 avg_dl=264.4602 idf_sum=15.579526 score=18.049372
PHRASE_DEBUG doc=2128677 pf=2 dl=352 avg_dl=264.4602 idf_sum=15.579526 score=19.597383
PHRASE_DEBUG doc=2194755 pf=1 dl=768 avg_dl=264.4602 idf_sum=15.579526 score=8.757854
PHRASE_DEBUG doc=2217672 pf=2 dl=128 avg_dl=264.4602 idf_sum=15.579526 score=25.058420
PHRASE_DEBUG doc=2234949 pf=2 dl=112 avg_dl=264.4602 idf_sum=15.579526 score=25.567322
PHRASE_DEBUG doc=2791532 pf=3 dl=1152 avg_dl=264.4602 idf_sum=15.579526 score=14.240807
PHRASE_DEBUG doc=2842971 pf=1 dl=288 avg_dl=264.4602 idf_sum=15.579526 score=15.032154
PHRASE_DEBUG doc=3320220 pf=5 dl=576 avg_dl=264.4602 idf_sum=15.579526 score=23.604631
PHRASE_DEBUG doc=3595052 pf=23 dl=1024 avg_dl=264.4602 idf_sum=15.579526 score=29.431734
PHRASE_DEBUG doc=3846312 pf=1 dl=80 avg_dl=264.4602 idf_sum=15.579526 score=21.799904
PHRASE_DEBUG doc=3920327 pf=1 dl=144 avg_dl=264.4602 idf_sum=15.579526 score=19.147436
PHRASE_DEBUG doc=4045892 pf=11 dl=1536 avg_dl=264.4602 idf_sum=15.579526 score=22.812296
PHRASE_DEBUG doc=4352146 pf=2 dl=112 avg_dl=264.4602 idf_sum=15.579526 score=25.567322
Processed 1 queries in 19.11ms (avg 19107.29us/q)
